"USUARIO"	"DATA"	"MODULO"	"TABELA"	"OPERACAO"	"COD_AFLORAMENTO"	"COD_ROCHA"	"OBS"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105137		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105138		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105139		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105435		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105436		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105437		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105438		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105439		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105374		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105375		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105376		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105377		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105378		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105072		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105073		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105074		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105075		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105076		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105077		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105078		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105079		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105080		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105081		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105082		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105083		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105084		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105085		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105086		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105087		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105088		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105089		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105379		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105380		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105381		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105382		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105383		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105384		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105385		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105386		"O geólogo(79) foi atribuído ao afloramento"
"AFLORA"	29/09/09	"AFLORA"	"AF_CADASTRO_LOCALIZACAO"	"UPDATE"	105387		"O geólogo(79) foi atribuído ao afloramento"
