"OBJECTID"	"ID"	"ID_METODO_GEOPOSICIONAMENTO"	"ALTITUDE"	"TOPONIMIA"	"ID_GEOLOGO"	"DATA_CADASTRO"	"DIMENSAO"	"ID_TIPO_AFLORAMENTO"	"DESCRICAO"	"NUMERO_CAMPO"	"ID_SUREG"	"ID_CATEGORIA"	"ID_FOLHA"	"SHAPE"
46037089	17	3		"Cerca de 1.5Km à sudoeste da Fazenda Boa Nova"	364	13/12/05		8		"EB08"	0	2	1147	SDE.ST_POINT(1, 1, -40.8936257, -18.1995852, -40.8936257, -18.1995852, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@35f1eb6a')
46037105	18	3		"Cerca de 1Km à noroeste da Fazenda Boa Esperança"	364	13/12/05		8		"EB09"	0	2	1147	SDE.ST_POINT(1, 1, -40.9117878, -18.2725562, -40.9117878, -18.2725562, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@4e191461')
46037121	19	3		"Cerca de 1 Km a sudoeste da Fazenda Boa Esperança"	364	13/12/05		15		"EB10"	0	2	1147	SDE.ST_POINT(1, 1, -40.9041554, -18.2880721, -40.9041554, -18.2880721, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@1190ae7c')
46037137	20	3		"Cerca de 1Km à sudoeste da Cidade de Ecoporanga"	364	14/12/05		8		"EB11"	0	2	1147	SDE.ST_POINT(1, 1, -40.840867, -18.3776195, -40.840867, -18.3776195, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@535a2b0')
46037153	21	3		"Cerca de 2.5Km à sudoeste da Fazenda Cachoeira das Flores"	364	14/12/05		8		"EB12"	0	2	1147	SDE.ST_POINT(1, 1, -40.8105074, -18.3337313, -40.8105074, -18.3337313, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@3fa5b3c7')
46037169	22	3		"Cerca de 1.5Km à sudoeste da Fazenda Cachoeira das Flores"	364	14/12/05		8		"EB13"	0	2	1147	SDE.ST_POINT(1, 1, -40.7928574, -18.3321995, -40.7928574, -18.3321995, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@3999124e')
46037185	23	3		"Cerca de 2Km à noroeste da Fazenda Minerva"	364	14/12/05		8		"EB14"	0	2	1147	SDE.ST_POINT(1, 1, -40.7681792, -18.2308868, -40.7681792, -18.2308868, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@2d6ea84f')
46037201	24	3		"Cerca de 1.5Km à noroeste da Fazenda Monte Verde"	364	14/12/05		8		"EB15"	0	2	1147	SDE.ST_POINT(1, 1, -40.7870704, -18.2373973, -40.7870704, -18.2373973, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@5e6bf70')
46037217	25	3		"Cerca de 3,5 Km à sudoeste da Fazenda Minerva"	364	14/12/05		8		"EB16"	0	2	1147	SDE.ST_POINT(1, 1, -40.7884197, -18.2509912, -40.7884197, -18.2509912, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@17cf0f80')
46037233	26	3		"Cerca de 3Km à oeste da Fazenda Baixa Alegre"	364	14/12/05		8		"EB17"	0	2	1147	SDE.ST_POINT(1, 1, -40.790978, -18.2644111, -40.790978, -18.2644111, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@66b56455')
46037249	27	3		"Cerca de 4.5Km à sudoeste da Fazenda Baixa Alegre"	364	14/12/05		8		"EB18"	0	2	1147	SDE.ST_POINT(1, 1, -40.7977761, -18.2817302, -40.7977761, -18.2817302, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@3e41941c')
46037265	28	3		"Cerca de 4.5Km à sudoeste do Povoado de Imburana"	364	14/12/05		8		"EB19"	0	2	1147	SDE.ST_POINT(1, 1, -40.7491735, -18.2959143, -40.7491735, -18.2959143, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@e6ca19b')
46037281	29	3		"Cerca de 2.5Km à sudoeste da Fazenda Acabajá"	364	14/12/05		8		"EB20"	0	2	1147	SDE.ST_POINT(1, 1, -40.7418579, -18.287931, -40.7418579, -18.287931, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@61b00cd9')
46037297	30	3		"Cerca de 1.5Km à oeste do Povoado de Imburana"	364	14/12/05		8		"EB21"	0	2	1147	SDE.ST_POINT(1, 1, -40.7190165, -18.2745039, -40.7190165, -18.2745039, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@2cea4b76')
46037313	31	3		"Cerca de 1.5Km à noroeste do Povoado de Imburana"	364	15/12/05		8		"EB22"	0	2	1147	SDE.ST_POINT(1, 1, -40.721297, -18.2727125, -40.721297, -18.2727125, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@1eb9db83')
46037329	32	3		"Cerca de 0.5 Km a noroeste da Fazenda Casa de Tábua"	364	15/12/05		15		"EB23"	0	2	1147	SDE.ST_POINT(1, 1, -40.7232248, -18.2255681, -40.7232248, -18.2255681, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@7532d1b6')
46037345	33	3		"Cerca de 1.5Km à nordeste da Fazenda Boa Vista"	364	15/12/05		8		"EB24"	0	2	1147	SDE.ST_POINT(1, 1, -40.8234496, -18.266896, -40.8234496, -18.266896, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@1485cd0d')
46037361	34	3		"Cerca de 3.5Km à leste da Fazenda Cachoeirinha"	364	15/12/05		8		"EB25"	0	2	1147	SDE.ST_POINT(1, 1, -40.8376476, -18.4282619, -40.8376476, -18.4282619, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@6a4a8510')
46037377	35	3		"Cerca de 2Km à leste da Fazenda Cachoeirinha"	364	15/12/05		8		"EB26"	0	2	1147	SDE.ST_POINT(1, 1, -40.8526829, -18.4277725, -40.8526829, -18.4277725, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@3a7f2e19')
46037393	36	3		"Cerca de 3Km à norte da Fazenda Paraíso"	364	15/12/05		8		"EB27"	0	2	1147	SDE.ST_POINT(1, 1, -40.8306986, -18.4531469, -40.8306986, -18.4531469, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@5923f781')
46037409	37	3		"Cerca de 2Km à oeste do Povoado de Santa Terezinha"	364	15/12/05		8		"EB28"	0	2	1147	SDE.ST_POINT(1, 1, -40.8302806, -18.4922702, -40.8302806, -18.4922702, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@63f4a40d')
